               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087872,            0.035498,                   0,             0.13026,            0.098692,            0.038531,            0.011526,            0.075226,            0.020218,                   0,            0.070155,           0.0033161,           0.0033161
                   1,            0.070004,            0.032959,                   0,             0.24438,              0.1851,             0.12684,            0.041078,            0.064294,            0.020318,                   0,            0.040123,           0.0066166,           0.0066166
                   2,            0.065574,            0.030827,                   0,             0.21818,             0.15696,            0.098414,             0.02754,            0.066551,            0.020409,                   0,            0.010057,           0.0098844,           0.0098844
                   3,            0.063297,            0.031259,                   0,             0.19523,            0.094332,            0.066594,            0.018918,            0.070136,            0.021096,                   0,           0.0098522,           0.0098522,           0.0098522
                   4,            0.061772,            0.031603,                   0,             0.22507,             0.11845,            0.085914,            0.026176,            0.068001,            0.021198,                   0,           0.0098522,           0.0098522,           0.0098522
                   5,            0.060302,            0.030911,                   0,             0.33064,             0.20055,             0.16687,             0.05908,            0.062607,             0.02043,                   0,            0.009803,            0.009803,            0.009803
                   6,            0.058698,            0.031288,                   0,             0.31284,             0.24217,             0.21332,            0.074908,             0.05972,            0.019297,                   0,           0.0097537,           0.0097537,           0.0097537
                   7,            0.058225,            0.030765,                   0,             0.35201,             0.24574,               0.215,             0.07457,            0.060599,             0.01975,                   0,           0.0097045,           0.0097045,           0.0097045
                   8,            0.057314,            0.031138,                   0,             0.35778,             0.27247,             0.24048,            0.085546,            0.058441,            0.019432,                   0,           0.0096552,           0.0096552,           0.0096552
                   9,            0.056664,            0.031403,                   0,             0.34372,              0.2826,             0.24489,            0.085637,            0.057818,             0.01952,                   0,            0.009606,            0.009606,            0.009606
                  10,            0.056285,             0.02972,                   0,             0.25192,              0.1847,             0.13071,            0.039165,            0.063374,             0.02032,                   0,           0.0095567,           0.0095567,           0.0095567
                  11,            0.055924,            0.030096,                   0,             0.36252,             0.24861,             0.22662,            0.078002,            0.059669,            0.019492,                   0,           0.0095075,           0.0095075,           0.0095075
                  12,            0.054494,              0.0293,                   0,             0.34412,             0.22126,              0.1963,            0.063953,             0.05984,            0.020211,                   0,           0.0094582,           0.0094582,           0.0094582
                  13,            0.054269,            0.029689,                   0,             0.38323,             0.28537,             0.25538,            0.091307,            0.058702,            0.019239,                   0,            0.009409,            0.009409,            0.009409
                  14,            0.053739,            0.029913,                   0,             0.36702,             0.29727,             0.26447,            0.097027,            0.058346,            0.019273,                   0,           0.0093597,           0.0093597,           0.0093597
                  15,            0.052915,            0.029133,                   0,             0.34729,             0.26833,             0.24337,            0.084253,            0.058572,            0.019677,                   0,           0.0093104,           0.0093104,           0.0093104
                  16,            0.053016,            0.029365,                   0,             0.41152,             0.28379,             0.27334,            0.099985,            0.057158,            0.019397,                   0,           0.0092612,           0.0092612,           0.0092612
                  17,            0.052076,            0.028519,                   0,             0.39464,             0.30916,              0.2772,            0.094932,            0.057183,            0.019223,                   0,           0.0092119,           0.0092119,           0.0092119
                  18,            0.051955,            0.028461,                   0,             0.33087,             0.31391,             0.25429,            0.090974,            0.057448,            0.019237,                   0,           0.0091627,           0.0091627,           0.0091627
                  19,            0.051212,            0.028476,                   0,             0.37912,             0.28498,             0.24893,            0.085824,            0.059854,            0.019686,                   0,           0.0091134,           0.0091134,           0.0091134
                  20,            0.051009,            0.028579,                   0,             0.28706,              0.2386,             0.16589,             0.05143,             0.06111,            0.021409,                   0,           0.0090642,           0.0090642,           0.0090642
                  21,            0.050516,            0.028602,                   0,             0.37305,             0.32541,             0.28192,             0.10141,            0.057107,            0.019422,                   0,           0.0090149,           0.0090149,           0.0090149
                  22,            0.049707,            0.028293,                   0,             0.36103,             0.30678,             0.25638,            0.090617,            0.058009,            0.019611,                   0,           0.0089657,           0.0089657,           0.0089657
                  23,            0.049746,            0.027803,                   0,             0.34314,             0.29964,             0.25205,            0.088025,            0.058843,            0.020104,                   0,           0.0089164,           0.0089164,           0.0089164
                  24,            0.048643,            0.027816,                   0,             0.27122,             0.17717,             0.13922,            0.044751,            0.063665,            0.021982,                   0,           0.0088672,           0.0088672,           0.0088672
                  25,            0.048528,            0.028479,                   0,             0.37415,             0.30083,             0.27076,            0.096428,            0.058649,            0.019395,                   0,           0.0088179,           0.0088179,           0.0088179
                  26,            0.048733,            0.028105,                   0,              0.3834,             0.27903,             0.25563,             0.08544,            0.057751,            0.019964,                   0,           0.0087687,           0.0087687,           0.0087687
                  27,            0.047882,            0.028232,                   0,             0.33885,             0.32218,             0.26261,            0.093171,            0.057539,            0.020139,                   0,           0.0087194,           0.0087194,           0.0087194
                  28,            0.047801,            0.027412,                   0,              0.3976,             0.31748,             0.30165,             0.11124,            0.056728,            0.019396,                   0,           0.0086701,           0.0086701,           0.0086701
                  29,            0.047027,            0.027327,                   0,             0.35274,             0.30163,             0.25682,            0.087009,            0.058342,            0.019998,                   0,           0.0086209,           0.0086209,           0.0086209
                  30,            0.046862,            0.026288,                   0,              0.3725,              0.3369,             0.29269,             0.10471,            0.056593,            0.019773,                   0,           0.0085716,           0.0085716,           0.0085716
                  31,            0.046527,            0.025902,                   0,             0.37373,             0.35219,              0.3021,             0.10587,            0.056682,             0.01963,                   0,           0.0085224,           0.0085224,           0.0085224
                  32,            0.046569,            0.026463,                   0,             0.36696,             0.34839,             0.30032,             0.10657,            0.056773,            0.019475,                   0,           0.0084731,           0.0084731,           0.0084731
                  33,            0.045227,            0.026467,                   0,             0.38611,             0.35025,             0.29819,             0.10649,            0.056393,            0.019558,                   0,           0.0084239,           0.0084239,           0.0084239
